aor|apprehension_landmark|n
NEW|CLARK PD|1
NEW|CLEMENTON POLICE DEPARTMENT|3
NEW|CLIFFSIDE PARK PD|11
NEW|CLIFTON CITY|3
NEW|CLIFTON PD|25
NEW|CLINTON PD|3
NEW|CLINTON TWP PD|1
NEW|CLOSTER PD|1
NEW|CNJ GENERAL AREA, NON-SPECIFIC|1
NEW|CRANBURY PD|4
NEW|CRANFORD PD|1
NEW|CUMBERLAND COUNTY JAIL|2
NEW|CUMBERLAND COUNTY PROBATION|1
NEW|CUMBERLAND COUNTY SHERIFF|5
NEW|CUMBERLAND COUNTY, NEW JERSEY|181
NEW|DELANCO TOWNSHIP POLICE DEPARTMENT|1
NEW|DELAWARE TWP PD|1
NEW|DELRAN TOWNSHIP POLICE DEPARTMENT|7
NEW|DEMAREST PD|2
NEW|DENVILLE PD|3
NEW|DEPARTMENT OF DEFENSE FORT DIX POLICE|14
NEW|DEPARTMENT OF DEFENSE POLICE, PICATINNY|2
NEW|DOVER PD|38
NEW|DUMONT PD|1
NEW|DUNELLEN PD|19
NEW|EAST BRUNSWICK PD|6
NEW|EAST HANOVER TWP PD|4
NEW|EAST JERSEY STATE PRISION|30
NEW|EAST ORANGE PD|18
NEW|EAST RUTHERFORD PD|3
NEW|EAST WINDSOR TOWNSHIP POLICE DEPARTMENT|22
NEW|EASTAMPTON POLICE DEPARTMENT|1
NEW|EATONTOWN PD|9
NEW|EDGEWATER PARK POLICE DEPARTMENT|6
NEW|EDGEWATER PD|6
NEW|EDISON PD|14
NEW|EDNA MAHAN CORRECTIONAL FACILITY FOR WOMEN|32
NEW|EGG HARBOR CITY POLICE DEPARTMENT|1
NEW|EGG HARBOR TOWNSHIP POLICE DEPARTMENT|2
NEW|ELIZABETH CITY|115
NEW|ELIZABETH PD|152
NEW|ELMWOOD PARK PD|4
NEW|EMERSON PD|1
NEW|ENGLEWOOD PD|8
NEW|ENGLISTOWN BOROUGH PD|1
NEW|ESM GENERAL AREA, NON-SPECIFIC|1
NEW|ESSEX COUNTY JAIL|590
NEW|ESSEX FELLS PD|2
NEW|EVESHAM POLICE DEPARTMENT|7
NEW|EWING TOWNSHIP POLICE DEPARTMENT|5
NEW|FAIR HAVEN PD|1
NEW|FAIR LAWN PD|1
NEW|FAIRFIELD PD|2
NEW|FAIRVIEW PD|29
NEW|FANWOOD PD|3
NEW|FAR HILLS PD|1
NEW|FCI FAIRTON, NEW JERSEY|78
NEW|FCI FT DIX|22
NEW|FEDERAL CORRECTIONAL INSTITUTE POLLOCK (MEDIUM)|1
NEW|FLEMINGTON PD|11
NEW|FLORENCE TOWNSHIP POLICE DEPARTMENT|2
NEW|FLORHAM PARK PD|6
NEW|FORT DIX EAST, NEW JERSEY|249
NEW|FORT DIX WEST, NEW JERSEY|82
NEW|FORT LEE PD|9
NEW|FRANKLIN LAKES PD|2
NEW|FRANKLIN TWP PD|28
NEW|FREEHOLD BOROUGH PD|14
NEW|FREEHOLD TWP PD|11
NEW|FRENCHTOWN PD|3
NEW|FUGITIVE OPERATIONS NY STATE|14
NEW|GALLOWAY TOWNSHIP POLICE DEPARTMENT|1
NEW|GARDEN STATE YOUTH CORRECTIONAL FACILITY|4
NEW|GARFIELD PD|15
NEW|GARWOOD PD|2
NEW|GASTON COUNTY JAIL 287G|1
NEW|GLASSBORO POLICE DEPARTMENT|2
NEW|GLEN RIDGE PD|1
NEW|GLOUCESTER CITY POLICE DEPARTMENT|1
NEW|GLOUCESTER COUNTY, NEW JERSEY|7
NEW|GLOUCESTER TOWNSHIP POLICE DEPARTMENT|7
NEW|GREEN BROOK TWP PD|3
NEW|GUTTENBERG PD|10
NEW|HACKENSACK PD|33
NEW|HACKETSTOWN PD|29
NEW|HADDON TOWNSHIP POLICE DEPARTMENT|2
NEW|HAINESPORT TOWNSHIP POLICE DEPARTMENT|2
NEW|HALEDON PD|7
NEW|HAMILTON TOWNSHIP POLICE DEPARTMENT|20
NEW|HAMMONTON TOWN POLICE DEPARTMENT|3
NEW|HANOVER TWP PD|3
NEW|HARDING TWP PD|1
NEW|HARRISON PD|6
NEW|HARRY R. YOUNG CORRECTIONAL INSTITUTION|1
NEW|HASBROUCK HEIGHTS PD|1
NEW|HAWORTH PD|2
NEW|HAWTHORNE PD|1
NEW|HAZLET PD|1
NEW|HELMETTA PD|1
NEW|HIGHLAND PARK PD|3
NEW|HIGHTSTOWN POLICE DEPARTMENT|13
NEW|HILLSBOROUGH TWP PD|8
NEW|HILLSDALE PD|1
NEW|HILLSIDE PD|5
NEW|HOBOKEN PD|4
NEW|HOLMDEL TWP PD|3
NEW|HOPEWELL TOWNSHIP POLICE DEPARTMENT|2
NEW|HOWELL TWP PD|28
NEW|HUDSON COUNTY JAIL|720
NEW|HUDSON COUNTY PROSECUTOR REFERRAL|1
NEW|ICE-ERO, MARLTON, NEW JERSEY|185
NEW|IRVINGTON PD|31
NEW|JACKSON TOWNSHIP POLICE DEPARTMENT|8
NEW|JAK GENERAL AREA, NON-SPECIFIC|1
NEW|JAMESBURG PD|7
NEW|JCART STREET ARREST NY STATE|1
NEW|JERSEY CITY|36
NEW|JERSEY CITY PD|49
NEW|JUVENILE JUSTICE COMMISION FEMALE SECURE FACILITY|1
NEW|KEANSBURG PD|2
NEW|KEARNY PD|51
NEW|KENILWORTH PD|5
NEW|KEYPORT PD|4
NEW|KINNELON PD|1
NEW|LAKEWOOD POLICE DEPARTMENT|85
NEW|LAMBERTVILLE PD|2
NEW|LAVALLETTE POLICE DEPARTMENT|1
NEW|LAWRENCE TOWNSHIP POLICE DEPARTMENT|11
NEW|LEONIA PD|2
NEW|LICENSING UNIT/ STATE POLICE|27
NEW|LINDEN PD|26
NEW|LINDENWOLD POLICE DEPARTMENT|45
NEW|LITTLE FALLS PD|1
NEW|LITTLE FERRY PD|2
NEW|LODI PD|9
NEW|LOGAN POLICE DEPARTMENT|1
NEW|LONG BEACH TOWNSHIP POLICE DEPARTMENT|1
NEW|LONG BRANCH PD|72
NEW|LONGILL TWP PD|1
NEW|LOWER TOWNSHIP POLICE DEPARTMENT|1
NEW|LUMBERTON POLICE DEPARTMENT|1
NEW|LVG GENERAL AREA, NON-SPECIFIC|1
NEW|LYNDHURST PD|6
NEW|MADISON PD|5
NEW|MAGNOLIA POLICE DEPARTMENT|1
NEW|MAHWAH PD|6
NEW|MANALAPAN PD|1
NEW|MANASQUAN PD|4
NEW|MANCHESTER TOWNSHIP POLICE DEPARTMENT|1
NEW|MANSFIELD TOWNSHIP POLICE DEPARTMENT|1
NEW|MANSFIELD TWP PD|1
NEW|MANVILLE PD|5
NEW|MAPLE SHADE POLICE DEPARTMENT|5
NEW|MAPLEWOOD PD|1
NEW|MARGATE CITY POLICE DEPARTMENT|1
NEW|MARLBORO TWP PD|2
NEW|MARLTON CITY|1
NEW|MATAWAN BOROUGH PD|6
NEW|MAYWOOD PD|2
NEW|MEDFORD POLICE DEPARTMENT|8
NEW|MENDHAM PD|2
NEW|MERCER COUNTY JAIL|1
NEW|MERCER COUNTY PROBATION|1
NEW|MERCER COUNTY SHERIFF|8
NEW|MERCER COUNTY, NEW JERSEY|137
NEW|METUCHEN PD|5
NEW|MEW MILFORD PD|1
NEW|MIDDLESEX COUNTY JAIL|170
NEW|MIDDLETOWN TWP PD|6
NEW|MIDLAND PARK PD|1
NEW|MILLBURN PD|2
NEW|MILLTOWN PD|3
NEW|MILLVILLE POLICE|3
NEW|MLN GENERAL AREA, NON-SPECIFIC|426
NEW|MONMOUTH COUNTY JAIL|479
NEW|MONMOUTH COUNTY PROSECUTOR REFERRAL|1
NEW|MONROE TOWNSHIP POLICE DEPARTMENT|3
NEW|MONROE TWP PD|6
NEW|MONTCLAIR PD|2
NEW|MONTGOMERY TWP PD|1
NEW|MONTVALE PD|1
NEW|MONTVILLE TWP PD|6
NEW|MOORESTOWN POLICE DEPARTMENT|2
NEW|MORRIS COUNTY JAIL|233
NEW|MORRIS COUNTY PROSECUTOR REFERRAL|1
NEW|MORRIS PLAINS PD|2
NEW|MORRIS TWP PD|1
NEW|MORRISTOWN PD|25
NEW|MOUNT EPHRAIM POLICE DEPARTMENT|1
NEW|MOUNT HOLLY POLICE DEPARTMENT|2
NEW|MOUNT LAUREL POLICE DEPARTMENT|35
NEW|MOUNT LAUREL SUB OFFICE, NJ|10
NEW|MOUNTAINSIDE PD|5
NEW|MOUNTAINVIEW YOUTH CORRECTIONAL FACILITY|57
NEW|MT ARLINGTON PD|1
NEW|MT OLIVE TWP PD|1
NEW|MTG GENERAL AREA, NON-SPECIFIC|1
NEW|MULLICA TOWNSHIP POLICE DEPARTMENT|1
NEW|NDD - 26 FEDERAL PLAZA NY, NY|6
NEW|NEPTUNE CITY PD|5
NEW|NEPTUNE TWP PD|6
NEW|NETCONG PD|5
NEW|NEW BRUNSWICK CITY|91
NEW|NEW BRUNSWICK PD|61
NEW|NEW GENERAL AREA, NON-SPECIFIC|271
NEW|NEW JERSEY JUVENILE TRAINING SCHOOL|3
NEW|NEW JERSEY STATE PAROLE|2
NEW|NEW JERSEY STATE POLICE|18
NEW|NEW JERSEY STATE PRISON|3
NEW|NEW JERSEY TRAINING SCHOOL FOR BOYS|5
NEW|NEW PROVIDENCE PD|3
NEW|NEWARK CITY|281
NEW|NEWARK PD|596
NEW|NEWTON PD|4
NEW|NORTH ARLINGTON PD|1
NEW|NORTH BERGEN PD|76
NEW|NORTH BRUNSWICK PD|25
NEW|NORTH CALDWELL PD|1
NEW|NORTH PLAINFIELD PD|46
NEW|NORTHERN STATE PRISON|159
NEW|NUTLEY PD|1
NEW|OAKLYN POLICE DEPARTMENT|2
NEW|OCEAN COUNTY JAIL|1
NEW|OCEAN COUNTY SHERIFF|3
NEW|OCEAN COUNTY, NEW JERSEY|149
NEW|OCEAN TOWNSHIP POLICE (MONMOUTH)|9
NEW|OCEANPORT PD|2
NEW|OLD BRIDGE TWP PD|7
NEW|ORANGE TWP PD|22
NEW|PALISADES PARK PD|26
NEW|PALMYRA BOROUGH POLICE DEPARTMENT|2
NEW|PARAMUS PD|8
NEW|PARSIPPANY-TROY HILLS PD|7
NEW|PASSAIC CITY|34
NEW|PASSAIC COUNTY JAIL|372
NEW|PASSAIC COUNTY PROSECUTOR REFERRAL|2
NEW|PASSAIC PD|46
NEW|PATERSON CITY|32
NEW|PATERSON PD|75
NEW|PAULSBORO POLICE DEPARTMENT|1
NEW|PEMBERTON BOROUGH POLICE DEPARTMENT|3
NEW|PEMBERTON TOWNSHIP POLICE DEPARTMENT|2
NEW|PENNS GROVE POLICE DEPARTMENT|1
NEW|PENNSAUKEN POLICE DEPARTMENT|16
NEW|PEQUANNOCK TWP PD|4
NEW|PERTH AMBOY PD|69
NEW|PHILADELPHIA POLICE DISTRICT #01|1
NEW|PHILLIPSBURG PD|3
NEW|PINE HILL POLICE DEPARTMENT|1
NEW|PISCATAWAY PD|15
NEW|PITMAN POLICE DEPARTMENT|3
NEW|PLAINFIELD PD|223
NEW|PLAINSBORO TWP PD|5
NEW|PLEASANTVILLE POLICE DEPARTMENT|8
NEW|POINT PLEASANT BEACH POLICE DEPARTMENT|1
NEW|POINT PLEASANT BOROUGH POLICE DEPARTMENT|1
NEW|POMPTON LAKES PD|4
NEW|PORT AUTHORITY (NJ/NY) PD|13
NEW|PRINCETON BOROUGH POLICE DEPARTMENT|2
NEW|PRINCETON TOWNSHIP POLICE DEPARTMENT|3
NEW|PROSPECT PARK PD|1
NEW|QUEEN ANNES COUNTY DETENTION CENTER|1
NEW|RAHWAY PD|15
NEW|RAMSEY PD|1
NEW|RANDOLPH PD|1
NEW|RARITAN PD|6
NEW|RARITAN TWP PD|1
NEW|READINGTON TWP PD|2
NEW|RED BANK PD|56
NEW|RIDGEFIELD PARK PD|2
NEW|RIDGEFIELD PD|33
NEW|RIDGEWOOD PD|4
NEW|RIVER VALE PD|6
NEW|RIVERDALE PD|3
NEW|RIVERSIDE TOWNSHIP POLICE DEPARTMENT|28
NEW|RIVERTON POLICE DEPARTMENT|1
NEW|ROCKAWAY BOROUGH PD|2
NEW|ROCKAWAY TWP PD|6
NEW|ROSELAND PD|1
NEW|ROSELLE PARK PD|3
NEW|ROSELLE PD|9
NEW|ROXBURY PD|7
NEW|RUMSON PD|1
NEW|RUNNEMEDE POLICE DEPARTMENT|1
NEW|RUTGERS UNIVERSITY PD|4
NEW|RUTHERFORD PD|1
NEW|S.C.I A.C. WAGNER, NEW JERSEY|24
NEW|S.C.I BAYSIDE, NEW JERSEY|71
NEW|S.C.I CRAF, NEW JERSEY|15
NEW|S.C.I GARDEN STATE, NEW JERSEY|88
NEW|S.C.I MID STATE, NEW JERSEY|11
NEW|S.C.I NEW JERSEY STATE PRISON|8
NEW|S.C.I SOUTHERN STATE, NEW JERSEY|216
NEW|S.C.I SOUTHWOODS, NEW JERSEY|213
NEW|SADDLE BROOK PD|3
NEW|SALEM COUNTY JAIL|2
NEW|SALEM COUNTY SHERIFF|1
NEW|SALEM COUNTY, NEW JERSEY|60
NEW|SAN DIEGO BORDER PATROL|1
NEW|SARPY COUNTY JAIL, NE|1
NEW|SAYREVILLE PD|11
NEW|SCOTCH PLAINS PD|1
NEW|SEA GIRT PD|1
NEW|SEASIDE HEIGHTS POLICE DEPARTMENT|2
NEW|SEASIDE PARK POLICE DEPARTMENT|1
NEW|SECAUCUS PD|12
NEW|SHIP BOTTOM POLICE DEPARTMENT|2
NEW|SHREWSBURY PD|6
NEW|SOMERSET COUNTY JAIL|175
NEW|SOMERSET COUNTY PROSECUTOR REFERRAL|4
NEW|SOMMERVILLE PD|19
NEW|SOUTH AMBOY PD|6
NEW|SOUTH BOUND BROOK PD|2
NEW|SOUTH BRUNSWICK TWP PD|13
NEW|SOUTH HACKENSACK PD|3
NEW|SOUTH HARRISON POLICE DEPARTMENT|1
NEW|SOUTH ORANGE PD|1
NEW|SOUTH PLAINFIELD PD|12
NEW|SOUTH RIVER PD|16
NEW|SOUTH TOMS RIVER POLICE DEPARTMENT|3
NEW|SOUTH WOODS STATE PRISON|1
NEW|SOUTHERN DESERT CORRECTIONAL CENTER (NDOC)|1
NEW|SOUTHERN STATE CORRECTIONAL FACILITY|4
NEW|SOUTHWOODS STATE PRISON|1
NEW|SPARTA TWP PD|2
NEW|SPOTSWOOD PD|4
NEW|SPRING LAKE PD|1
NEW|SPRINGFIELD PD|7
NEW|STAFFORD POLICE DEPARTMENT|6
NEW|STANHOPE BOROUGH PD|3
NEW|STREET PROBATION & PAROLE, BERGEN COUNTY|3
NEW|STREET PROBATION & PAROLE, ESSEX COUNTY|7
NEW|STREET PROBATION & PAROLE, HUDSON COUNTY|2
NEW|STREET PROBATION & PAROLE, MIDDLESEX COUNTY|6
NEW|STREET PROBATION & PAROLE, MONMOUTH COUNTY|19
NEW|STREET PROBATION & PAROLE, MORRIS COUNTY|2
NEW|STREET PROBATION & PAROLE, PASSAIC COUNTY|16
NEW|STREET PROBATION & PAROLE, SOMERSET COUNTY|1
NEW|STREET PROBATION & PAROLE, UNION COUNTY|4
NEW|SUMMIT PD|11
NEW|SUSSEX COUNTY JAIL|18
NEW|TEANECK PD|4
NEW|TINTON FALLS PD|4
NEW|TOMS RIVER POLICE DEPARTMENT|17
NEW|TOTOWA PD|9
NEW|TOWNSHIP OF HAMILTON POLICE DEPARTMENT|24
NEW|TRENTON CITY POLICE DEPARTMENT|202
NEW|U.S MARSHALS SERVICE|1
NEW|UNION CITY PD|96
NEW|UNION COUNTY JAIL|162
NEW|UNION COUNTY PD|22
NEW|UNION COUNTY PROSECUTOR REFERRAL|1
NEW|UNION PD|17
NEW|UNITED STATES MARSHAL SERVICE CAMDEN|2
NEW|UNITED STATES MARSHAL SERVICE TRENTON|11
NEW|UNITED STATES PROBATION & PAROLE|9
NEW|US CITIZENSHIP & IMMIGRATION SERVICES, MOUNT LAUREL|4
NEW|USBOP CI-MOSHANNON VALLEY|1
NEW|USICE MARLTON HOLDING CELL|28
NEW|USMS CAMDEN|1
NEW|USMS NEWARK|53
NEW|USMS TRENTON|2
NEW|VCAS2 - STREET ARREST|1
NEW|VERONA PD|1
NEW|VINELAND POLICE DEPARTMENT|25
NEW|WALDWICK PD|2
NEW|WALL TWP PD|3
NEW|WALLINGTON PD|5
NEW|WANAQUE BOROUGH PD|5
NEW|WARREN COUNTY JAIL|9
NEW|WARREN TWP PD|2
NEW|WASHINGTON TOWNSHIP POLICE DEPARTMENT|5
NEW|WASHINGTON TOWNSHIP POLICE DEPARTMENT MERCER COUNTY|4
NEW|WASHINGTON TWP PD|1
NEW|WATCHUNG PD|6
NEW|WAYNE PD|7
NEW|WEEHAWKIN TWP PD|11
NEW|WEST AMWELL TWP PD|1
NEW|WEST CALDWELL PD|2
NEW|WEST DEPTFORD POLICE DEPARTMENT|1
NEW|WEST LONG BRANCH PD|11
NEW|WEST NEW YORK PD|77
NEW|WEST ORANGE PD|9
NEW|WEST WINDSOR POLICE DEPARTMENT|1
NEW|WESTAMPTON TOWNSHIP POLICE DEPARTMENT|1
NEW|WESTFIELD PD|2
NEW|WESTWOOD PD|5
NEW|WHARTON PD|1
NEW|WILDWOOD POLICE DEPARTMENT|4
NEW|WILLINGBORO TOWNSHIP POLICE DEPARTMENT|7
NEW|WINSLOW TOWNSHIP POLICE DEPARTMENT|4
NEW|WOODBRIDGE PD|33
NEW|WOODBURY POLICE DEPARTMENT|5
NEW|WOODLYNNE BOROUGH POLICE DEPARTMENT|1
NEW|WOOLWICH TOWNSHIP POLICE DEPARTMENT|1
NEW|WYCKOFF PD|1
NEW|XJA GENERAL AREA, NON-SPECIFIC|3
NEW|XNK GENERAL AREA, NON-SPECIFIC|1
NEW|NA|43
NOL|287(G)-KNOX COUNTY SHERIFF'S OFFICE|67
NOL|ACADIA PARISH JAIL|1
NOL|ADAMS COUNTY|1
NOL|ADAMS COUNTY CORRECTIONAL CENTER|1180
NOL|ADAMS COUNTY CORRECTIONAL CENTER, NATCHEZ, MS|215
NOL|ADAMS COUNTY, MS|1
NOL|ADC CUMMINS UNIT|20
NOL|ADC DELTA REGIONAL UNIT|12
NOL|ADC DIAGNOSTIC UNIT|6
NOL|ADC EAST ARKANSAS REGIONAL UNIT|7
NOL|ADC GRIMES UNIT|32
NOL|ADC MCPHERSON UNIT|5
NOL|ADC NORTH CENTRAL UNIT|14
NOL|ADC OUACHITA RIVER UNIT|37
NOL|ADC RANDALL L. WILLIAMS UNIT|10
NOL|ADC TUCKER UNIT|12
NOL|ADC VARNER UNIT|19
NOL|ADC WRIGHTSVILLE UNIT|15
NOL|AL STATE AT-LARGE|26
NOL|AL STATE PROBATION MOBILE, AL|1
NOL|ALCORN COUNTY, MS|1
NOL|ANDERSON COUNTY JAIL, TN|36
NOL|ARKANSAS COUNTY JAIL|3
NOL|ASCENSION PARISH PRISON|169
NOL|ASHLEY COUNTY JAIL|4
NOL|ASSUMPTION PARISH, LA|12
NOL|ATD, AL STATE|4
NOL|ATTALA COUNTY, MS|2
NOL|AUTAUGA COUNTY JAIL, PRATTVILLE, AL|1
NOL|BALDWIN COUNTY CORRECTIONAL CENTER, AL|147
NOL|BAXTER COUNTY JAIL|5
NOL|BAYOU LA BATRE PD, AL|7
NOL|BEDFORD COUNTY JAIL, TN|77
NOL|BENTON COUNTY 287G JAIL ENFORCEMENT OFFICER|24
NOL|BENTON COUNTY JAIL|237
NOL|BENTON COUNTY JAIL 287(G)|123
NOL|BENTON COUNTY PROBATION AND PAROLE|5
NOL|BERKS COUNTY FAMILY SHELTER|4
NOL|BHM GENERAL AREA, NON-SPECIFIC|1474
NOL|BLEDSOE COUNTY JAIL, TN|5
NOL|BLOUNT COUNTY JAIL, TN|141
NOL|BOLIVAR COUNTY, MS|2
NOL|BOONE COUNTY JAIL|3
NOL|BOONE COUNTY JAIL, KY|1
NOL|BOSSIER CITY DETENTION|6
NOL|BOSSIER MEDIUM FACILITY|2
NOL|BOSSIER PARISH COURT|1
NOL|BOSSIER PARISH MAXIMUM|92
NOL|BOWIE COUNTY JAIL ANNEX (BISTATE JAIL)|27
NOL|BRADLEY COUNTY JAIL|1
NOL|BRADLEY COUNTY JAIL, TN|70
NOL|BRO GENERAL AREA, NON-SPECIFIC|1
NOL|BTN GENERAL AREA, NON-SPECIFIC|145
NOL|CABOT POLICE DEPARTMENT|1
NOL|CAC GENERAL AREA, NON-SPECIFIC|1
NOL|CADDO PARISH CORRECTIONS|4
NOL|CALCASIEU PARISH JAIL|17
NOL|CALHOUN COUNTY JAIL, ANNISTON, AL|3
NOL|CALHOUN COUNTY, MS|11
NOL|CAMERON PARISH JAIL|1
NOL|CAMPBELL COUNTY JAIL, TN|21
NOL|CAP - ALBERTVILLE CITY JAIL, AL STATE|122
NOL|CAP - ALCORN COUNTY JAIL MS STATE|23
NOL|CAP - ALEXANDRIA CITY JAIL, AL STATE|8
NOL|CAP - AUTAUGA COUNTY JAIL, AL STATE|15
NOL|CAP - BARBOUR COUNTY JAIL, AL STATE|1
NOL|CAP - BARTLETT POLICE DEPARTMENT TN STATE|27
NOL|CAP - BENTON COUNTY JAIL MS STATE|1
NOL|CAP - BENTON COUNTY JAIL TN STATE|3
NOL|CAP - BIBB COUNTY CORRECTIONAL CENTER - DOC - AL STATE|16
NOL|CAP - BLOUNT COUNTY JAIL, AL STATE|10
NOL|CAP - BOAZ CITY JAIL, AL STATE|12
NOL|CAP - BOP FCI MEMPHIS TN STATE|69
NOL|CAP - BULLOCK CORRECTIONAL FACILITY, AL STATE|2
NOL|CAP - BULLOCK COUNTY JAIL, AL STATE|2
NOL|CAP - BUTLER COUNTY JAIL, AL STATE|1
NOL|CAP - CALHOUN COUNTY JAIL, AL STATE|11
NOL|CAP - CARROLL COUNTY JAIL TN STATE|4
NOL|CAP - CHAMBERS COUNTY JAIL, AL STATE|21
NOL|CAP - CHEROKEE COUNTY JAIL, AL STATE|2
NOL|CAP - CHESTER COUNTY JAIL TN STATE|1
NOL|CAP - CHILTON COUNTY JAIL, AL STATE|79
NOL|CAP - CHOCTAW COUNTY JAIL, AL STATE|2
NOL|CAP - CLAY COUNTY JAIL AR STATE|2
NOL|CAP - CLEBURNE COUNTY JAIL, AL STATE|8
NOL|CAP - COFFEE COUNTY JAIL, AL STATE|49
NOL|CAP - COLBERT COUNTY JAIL, AL STATE|3
NOL|CAP - COLLIERVILLE POLICE DEPARTMENT TN STATE|49
NOL|CAP - COOSA COUNTY JAIL, AL STATE|3
NOL|CAP - COVINGTON COUNTY JAIL, AL STATE|2
NOL|CAP - CRENSHAW COUNTY JAIL, AL STATE|1
NOL|CAP - CRITTENDEN COUNTY JAIL AR STATE|7
NOL|CAP - CROCKETT COUNTY JAIL TN STATE|6
NOL|CAP - CULLMAN COUNTY JAIL, AL STATE|25
NOL|CAP - DALE COUNTYJAIL, AL STATE|11
NOL|CAP - DECATUR CITY JAIL, AL STATE|4
NOL|CAP - DECATUR COUNTY JAIL TN STATE|9
NOL|CAP - DEKALB COUNTY JAIL, AL STATE|73
NOL|CAP - DESOTO COUNTY JAIL MS STATE|210
NOL|CAP - DONALDSON CORRECTIONAL FACILITY - DOC - AL STATE|1
NOL|CAP - DOTHAN CITY JAIL, AL STATE|16
NOL|CAP - DRAPER CORRECTIONAL FACILITY - DOC - AL STATE|10
NOL|CAP - DYER COUNTY JAIL TN STATE|8
NOL|CAP - EASTERLING CORRECTIONAL FACILITY - DOC - AL STATE|4
NOL|CAP - ELMORE CORRECTIONAL FACILITY - DOC - AL STATE|5
NOL|CAP - ELMORE COUNTY JAIL, AL STATE|35
NOL|CAP - ESCAMBIA COUNTY JAIL, AL STATE|1
NOL|CAP - ETOWAH COUNTY JAIL, AL STATE|6
NOL|CAP - FAYETTEE COUNTY JAIL TN STATE|21
NOL|CAP - FRANKLIN COUNTY JAIL, AL STATE|32
NOL|CAP - GENEVA COUNTY JAIL, AL STATE|26
NOL|CAP - GERMANTOWN POLICE DEPARTMENT TN STATE|8
NOL|CAP - GIBSON COUNTY JAIL TN STATE|17
NOL|CAP - GREEN COUNTY JAIL, AL STATE|4
NOL|CAP - GREENE COUNTY JAIL AR STATE|8
NOL|CAP - HALE COUNTY JAIL, AL STATE|1
NOL|CAP - HARDEMANN COUNTY CORRECTIONAL FACILITY TN STATE|12
NOL|CAP - HARDEMANN COUNTY JAIL TN STATE|6
NOL|CAP - HAYWOOD COUNTY JAIL TN STATE|3
NOL|CAP - HENDERSON COUNTY JAIL TN STATE|15
NOL|CAP - HENRY COUNTY JAIL TN STATE|12
NOL|CAP - HENRY COUNTY JAIL, AL STATE|15
NOL|CAP - HOMEWOOD CITY JAIL, AL STATE|11
NOL|CAP - HOOVER CITY JAIL, AL STATE|8
NOL|CAP - HOUSTON COUNTY JAIL, AL STATE|27
NOL|CAP - ITAWAMBA COUNTY JAIL MS STATE|20
NOL|CAP - JACKSON COUNTY JAIL, AL STATE|7
NOL|CAP - JAIL EAST TN STATE|13
NOL|CAP - JEFFERSON COUNTY JAIL, AL STATE|120
NOL|CAP - KILBY CORRECTIONAL FACILITY - DOC - AL STATE|46
NOL|CAP - LAFAYETTE COUNTY JAIL MS STATE|93
NOL|CAP - LAKE COUNTY JAIL TN STATE|1
NOL|CAP - LAUDERDALE COUNTY JAIL TN STATE|7
NOL|CAP - LAUDERDALE COUNTY JAIL, AL STATE|16
NOL|CAP - LAWRENCE COUNTY JAIL, AL STATE|7
NOL|CAP - LEE COUNTY JAIL MS STATE|58
NOL|CAP - LEE COUNTY JAIL, AL STATE|169
NOL|CAP - LIMESTONE CORRECTIONAL FACILITY - DOC - AL STATE|2
NOL|CAP - LIMESTONE COUNTY JAIL, AL STATE|10
NOL|CAP - LIMESTONE COUTY JAIL, AL|41
NOL|CAP - LOWNDES COUNTY JAIL, AL STATE|3
NOL|CAP - MACON COUNTY JAIL, AL STATE|1
NOL|CAP - MADISON COUNTY JAIL TN STATE|124
NOL|CAP - MADISON COUNTY JAIL, AL STATE|53
NOL|CAP - MARENGO COUNTY JAIL, AL STATE|1
NOL|CAP - MARSHAL COUNTY JAIL MS STATE|14
NOL|CAP - MARSHALL COUNTY JAIL, AL STATE|27
NOL|CAP - MCNAIRY COUNTY JAIL TN STATE|3
NOL|CAP - MILLINGTON POLICE DEPARTMENT TN STATE|2
NOL|CAP - MISSISSIPPI COUNTY JAIL AR STATE|15
NOL|CAP - MONTGOMERY CITY JAIL, AL STATE|71
NOL|CAP - MONTGOMERY COUNTY JAIL, AL STATE|25
NOL|CAP - MORGAN COUNTY JAIL, AL STATE|84
NOL|CAP - NORTHEAST AR COMMUNITY CORR. CNTR (OSCEOLA) AR STATE|2
NOL|CAP - NORTHWEST CORRECTIONAL COMPLEX TN STATE|21
NOL|CAP - OBION COUNTY JAIL TN STATE|31
NOL|CAP - PANOLA COUNTY JAIL MS STATE|2
NOL|CAP - PELHAM CITY JAIL, AL STATE|17
NOL|CAP - PERRY COUNTY JAIL TN STATE|1
NOL|CAP - PICKENS COUNTY JAIL, AL STATE|2
NOL|CAP - PIKE COUNTY JAIL, AL STATE|3
NOL|CAP - PONTOTOC COUNTY JAIL MS STATE|48
NOL|CAP - PRENTISS COUNTY JAIL MS STATE|4
NOL|CAP - PROBATION OFFICE BOONEVILLE MS STATE|1
NOL|CAP - PROBATION OFFICE MEMPHIS KNIGHT ARNOLD TN STATE|1
NOL|CAP - PROBATION OFFICE NEW ALBANY MS STATE|2
NOL|CAP - PROBATION OFFICE UNION CITY TN STATE|1
NOL|CAP - RANDOLPH COUNTY JAIL AR STATE|7
NOL|CAP - RANDOLPH COUNTY JAIL, AL STATE|6
NOL|CAP - RUSSELL COUNTY JAIL, AL STATE|31
NOL|CAP - SCOTTSBORO CITY JAIL, AL STATE|19
