"","landmark","total"
"4491","LINCOLN COUNTY JAIL, NE",20
"4492","LINCOLN COUNTY JAIL, TN",23
"4493","LINCOLN COUNTY PROBATION OFFICE",2
"4494","LINCOLN COUNTY REGIONAL JAIL, KY",23
"4495","LINCOLN COUNTY SHERIFF'S DEPARTMENT",4
"4496","LINCOLN COUNTY SHERIFF'S DEPARTMENT, MISSOURI",15
"4497","LINCOLN COUNTY SHERIFFS OFFICE, LINCOLN, KANSAS",3
"4498","LINCOLN COUNTY WYOMING",1
"4499","LINCOLN COUNTY, GA",2
"4500","LINCOLN COUNTY, NC",2
"4501","LINCOLN COUNTY, WY",5
"4502","LINCOLN COUNTY, WYOMING",1
"4503","Lincoln Parish",2
"4504","LINCOLN PARK PD",6
"4505","LINCOLN PARK POLICE DEPARTMENT",28
"4506","LINCOLN PARK, MICHIGAN",37
"4507","LINCOLN, COUNTY, MS",4
"4508","Linda Vista, CA",1
"4509","LINDEN PD",137
"4510","LINDENWOLD POLICE DEPARTMENT",42
"4511","LINN COUNTY JAIL",68
"4512","LINN COUNTY JAIL, IA",400
"4513","LINN COUNTY SHERIFFS OFFICE KANSAS",2
"4514","LINWOOD CITY POLICE DEPARTMENT",1
"4515","LIPSCOM COUNTY",6
"4516","LISBON POLICE DEPARTMENT",4
"4517","LITCHFIELD, CT",1
"4518","LITHONIA, GA",8
"4519","LITTLE FALLS PD",34
"4520","LITTLE FERRY PD",14
"4521","LITTLE RIVER COUNTY JAIL",2
"4522","LITTLE SILVER PD",2
"4523","LIV GENERAL AREA, NON-SPECIFIC",23
"4524","LIVE OAK COUNTY JAIL, GEORGE WEST, TX",18
"4525","LIVE OAK COUNTY PROBATION, GEORGE WEST, TX",1
"4526","LIVERPOOL VILLAGE POLICE DEPARTMENT",6
"4527","LIVINGSTON AREA",1
"4528","LIVINGSTON CORRECTIONAL FACILITY",1
"4529","LIVINGSTON COUNTY",2
"4530","LIVINGSTON COUNTY JAIL",31
"4531","LIVINGSTON COUNTY JAIL, HOWELL, MI",27
"4532","LIVINGSTON COUNTY PROBATION",1
"4533","LIVINGSTON COUNTY SHERIFF",1
"4534","LIVINGSTON PARISH PRISON",50
"4535","LIVINGSTON PD",54
"4536","LIVINGSTON, TEXAS",21
"4537","LIVONIA POLICE DEPARTMENT",12
"4538","LIVONIA, MICHIGAN",23
"4539","LLANO COUNTY JAIL, LLANO, TEXAS",76
"4540","LOCK HAVEN POLICE DEPARTMENT - LOCK HAVEN, PA",1
"4541","LOCUST GROVE, GA",5
"4542","LODI PD",48
"4543","LODI POLICE DEPARTMENT",25
"4544","LOGAN CORR. CENTER, IL (ILLINOIS DOC)",12
"4545","Logan County",7
"4546","LOGAN COUNTY",1
"4547","LOGAN COUNTY DETENTION CENTER",1
"4548","LOGAN COUNTY DETENTION CTR, KY",9
"4549","Logan County Jail",32
"4550","LOGAN COUNTY JAIL",55
"4551","Logan County Probation",1
"4552","LOGAN COUNTY PROBATION-BOONEVILLE OFFICE",3
"4553","LOGAN POLICE DEPARTMENT",1
"4554","LOGANVILLE, GA",14
"4555","LOM GENERAL AREA, NON-SPECIFIC",1135
"4556","LOMA, COLORADO",3
"4557","LOMPOC CITY JAIL",1
"4558","LONG BEACH TOWNSHIP POLICE DEPARTMENT",1
"4559","LONG BRANCH PD",176
"4560","LONG COUNTY GA",2
"4561","LONGILL TWP PD",4
"4562","LONOKE CITY JAIL",3
"4563","LONOKE COUNTY JAIL",17
"4564","LONOKE COUNTY PROBATION-LONOKE OFFICE",2
"4565","LORAIN CORRECTIONAL INSTITUTION",30
"4566","LORAIN COUNTY JAIL",31
"4567","LOS ALAMOS COUNTY DETENTION CENTER",1
"4568","LOS ANGELES COUNTY GENERAL AREA, NON-SPECIFIC",5676
"4569","LOS ANGELES COUNTY JAIL, LOS ANGELES, CA",621
"4570","LOS ANGELES COUNTY, CA",1
"4571","LOS BANOS POLICE DEPARTMENT",36
"4572","LOS FRESNOS CITY JAIL, TX",20
"4573","LOS GENERAL AREA, NON-SPECIFIC",718
"4574","LOU GENERAL AREA, NON-SPECIFIC",191
"4575","LOUDON COUNTY JAIL, TN",123
"4576","LOUDOUN COUNTY JAIL - VA",1341
"4577","LOUISA COUNTY JAIL, IA",54
"4578","LOUISIANA CORRECTIONAL INSTITUTION FOR WOMEN",2
"4579","LOUISIANA STATE PENITENTIARY - ANGOLA",4
"4580","LOUISVILLE CAP STREET ARREST",884
"4581","LOUISVILLE FUGITIVE OPS ARREST",1685
"4582","LOUISVILLE METRO CORRECTIONS, KY",643
"4583","LOVE COUNTY JAIL",31
"4584","LOVEJOY, GA",35
"4585","LOWELL DISTRICT COURT",15
"4586","LOWELL POLICE DEPT",16
"4587","LOWNDES COUNTY JAIL, GA",62
"4588","LOWNDES COUNTY, GA",10
"4589","LOWNDES COUNTY, MS",24
"4590","LRA CAP STREET ARREST",51
"4591","LRA GENERAL AREA, NON-SPECIFIC",558
"4592","LRA OFFICE ARREST",71
"4593","LRD GENERAL AREA, NON-SPECIFIC",2132
"4594","LSC GENERAL AREA, NON-SPECIFIC",2
"4595","LTV GENERAL AREA, NON-SPECIFIC",1175
"4596","LUBBOCK COUNTY JAIL",331
"4597","LUBBOCK COUNTY SHERIFF'S OFFICE",712
"4598","LUBBOCK POLICE DEPARTMENT",5
"4599","LUBBOCK TEXAS FUG OPS AOR",79
"4600","LUCAS COUNTY IOWA",5
"4601","LUCAS COUNTY JAIL",10
"4602","Lucas County, OH",84
"4603","LUCILE PLANE STATE JAIL, TDCJ,904 FM 686, DAYTON, TX 77535",1
"4604","LUFKIN, TX",21
"4605","LULATON, GA",1
"4606","LUMPKIN COUNTY, GA",16
"4607","LUMPKIN, GA (DAWSON COUNTY)",1
"4608","LUMPKIN, GA (STEWART COUNTY)",2
"4609","LUNA COUNTY DETENTION CENTER",4
"4610","LUNENBURG CORRECTIONAL CENTER-VA",6
"4611","LUZERNE COUNTY CORRECTIONAL FACILITY",210
"4612","LUZERNE COUNTY PROBATION",5
"4613","LVD GENERAL AREA, NON-SPECIFIC",39
"4614","LVG GENERAL AREA, NON-SPECIFIC",6628
"4615","LVN GENERAL AREA, NON-SPECIFIC",5
"4616","LYCOMING COUNTY PRISON",15
"4617","LYCOMING COUNTY PROBATION",5
"4618","LYNCHBURG CITY JAIL - BRRJ - VA",19
"4619","LYNCHBURG CITY JAIL-BRRJ-VA",1
"4620","LYNCHNER STATE JAIL, TEXAS DEPT OF CRIMINAL JUSTICE",45
"4621","LYNDHURST PD",41
"4622","LYNN COUNTY JAIL",1
"4623","LYNN DISTRICT COURT",35
"4624","LYNN POLICE DEPARTMENT",33
"4625","LYNNWOOD CITY JAIL",177
"4626","LYNWOOD CRDF LOS ANGELES COUNTY SHERIFF'S DEPT",4
"4627","LYON COUNTY JAIL, IA",1
"4628","LYON COUNTY LAW ENFORCEMENT CENTER, MN",69
"4629","LYON COUNTY SHERIFFS OFFICE KANSAS",13
"4630","LYONS, GA",1
"4631","MACDOUGALL CORRECTIONAL INSTITUTION",11
"4632","MACDOUGALL CORRECTIONAL INSTITUTION, SUFFIELD, CT",25
"4633","MACKINAC COUNTY JAIL, ST. IGNACE, MI",5
"4634","MACLAREN YOUTH CORRECTIONS FACILITY",2
"4635","MACOMB CORRECTIONAL FACILITY, NEW HAVEN, MI",1
"4636","MACOMB COUNTY JAIL, MT. CLEMENS, MI",74
"4637","MACOMB, MICHIGAN",27
"4638","MACON COUNTY JAIL",11
"4639","MACON COUNTY JAIL, TN",47
"4640","MACON COUNTY SHERIFF'S DEPARTMENT, MISSOURI",8
"4641","MACON COUNTY SHERIFF'S OFFICE, IL",3
"4642","MACON COUNTY, GA",3
"4643","MACON COUNTY, NC",6
"4644","MACON PROBATION OFFICE",1
"4645","MACON, GA",19
"4646","MACOUPIN COUNTY SHERIFF'S OFFICE, IL",1
"4647","MADERA COUNTY",30
"4648","MADERA COUNTY JAIL",210
"4649","MADERA COUNTY SHERIFF'S DEPARTMENT",1
"4650","MADERA POLICE DEPARTMENT",6
"4651","MADISON COUNTY",6
"4652","MADISON COUNTY DETENTION CTR, KY",20
"4653","MADISON COUNTY IOWA",9
"4654","Madison County Jail",17
"4655","MADISON COUNTY JAIL",11
"4656","MADISON COUNTY JAIL ID",38
"4657","MADISON COUNTY JAIL MT",3
"4658","MADISON COUNTY JAIL, HUNTSVILLE, AL",15
"4659","MADISON COUNTY JAIL, MADISONVILLE, TX",31
"4660","MADISON COUNTY MISDEMEANOR PROBATION OFFICE ID",2
"4661","MADISON COUNTY PROBATION AND PAROLE",1
"4662","MADISON COUNTY PROBATION, MADISONVILLE, TX",3
"4663","Madison County Sheriff",7
"4664","MADISON COUNTY SHERIFF'S DEPARTMENT, ILLINOIS",59
"4665","MADISON COUNTY SHERIFF'S DEPARTMENT, MISSOURI",7
"4666","MADISON COUNTY SHERIFF'S OFFICE, INDIANA",29
"4667","MADISON COUNTY, GA",11
"4668","MADISON COUNTY, MS",400
"4669","MADISON HEIGHTS, MICHIGAN",20
"4670","MADISON PARISH JAIL",1
"4671","MADISON PD",21
"4672","MADISON, GA",1
"4673","MADISONVILLE, TEXAS",7
"4674","MAGNOLIA, TEXAS",15
"4675","MAHASKA COUNTY IOWA",16
"4676","MAHNOMEN COUNTY JAIL, MN",5
"4677","MAHONING COUNTY JAIL",26
"4678","MAHWAH PD",48
"4679","MAINE CORRECTIONAL CENTER, SOUTH WINHAM",9
"4680","MAINE PROBATION AND PAROLE, PORTLAND",1
"4681","MAINE STATE PRISON, WARREN",10
"4682","MAJOR COUNTY JAIL",4
"4683","MALDEN DISTRICT COURT",37
"4684","MALDEN POLICE DEPT",10
"4685","MALHEUR COUNTY FELONY PROBATION OFFICE, OR",2
"4686","MALHEUR COUNTY GENERAL AREA ID",3
"4687","MALHEUR COUNTY JAIL OREGON",50
"4688","MALHEUR COUNTY MISDEMEANOR PROBATION OFFICE, OR",1
"4689","MALIBU/ LOST HILLS SHERIFFS DEPT, AGOURA, CA",2
"4690","MALIBU/LOST HILLS JAIL LASD MALIBU, CA",1
"4691","Malmstrom AFB",47
"4692","MALMSTROM AFB",53
"4693","MAMMOTH POLICE DEPARTMENT",1
"4694","MAN GENERAL AREA, NON-SPECIFIC",7
"4695","MANALAPAN PD",18
"4696","MANASQUAN PD",7
"4697","MANCHESTER ICE OFFICE",86
"4698","MANCHESTER JUDICIAL MARSHAL'S LOCKUP",1
"4699","MANCHESTER POLICE DEPARTMENT, MISSOURI",1
"4700","MANCHESTER TOWNSHIP POLICE DEPARTMENT",1
"4701","MANCHESTER, CT",2
"4702","MANLIUS TOWN POLICE DEPARTMENT",11
"4703","MANSFIELD COUNTY JAIL",612
"4704","MANSFIELD TOWNSHIP POLICE DEPARTMENT",1
"4705","MANSFIELD TWP PD",17
"4706","MANSFIELD, CT",1
"4707","MANSON YOUTH INSTITUTION, CHESHIRE, CT",34
"4708","MANTECA POLICE DEPARTMENT",9
"4709","MANVEL POLICE DEPT, MONTGMERY COUNTY,TX",1
"4710","MANVILLE PD",31
"4711","MAPLE SHADE POLICE DEPARTMENT",4
"4712","MAPLEWOOD PD",15
"4713","MAPLEWOOD POLICE DEPARTMENT, MISSOURI",1
"4714","MARCY CORRECTIONAL FACILITY",1
"4715","MARENGO COUNTY JAIL, AL",4
"4716","MARGATE CITY POLICE DEPARTMENT",1
"4717","MARICOPA CITY POLICE DEPARTMENT",1
"4718","MARIETTA MUNICIPAL PROBATION",3
"4719","MARIETTA NORTH PROBATION OFFICE",1
"4720","MARIETTA PROBATION OFFICE",6
"4721","MARIETTA, GA",123
"4722","MARIN COUNTY JAIL - CA",506
"4723","MARIN COUNTY SHERIFF'S DEPARTMENT",21
"4724","MARION COUNTY",1
"4725","MARION COUNTY DETENTION CENTER",36
"4726","MARION COUNTY DETENTION CTR, KY",43
"4727","MARION COUNTY IOWA",23
"4728","MARION COUNTY JAIL",253
"4729","MARION COUNTY JAIL, GA",5
"4730","MARION COUNTY JAIL, TN",40
"4731","MARION COUNTY JUVENILE FACILITY",4
"4732","MARION COUNTY SHERIFF'S DEPARTMENT, MISSOURI",6
"4733","MARION COUNTY SHERIFF'S OFFICE, INDIANAPOLIS, INDIANA",702
"4734","MARION COUNTY SHERIFFS OFFICE, MARION, KANSAS",1
"4735","MARION COUNTY, SC",1
"4736","MARION TREATMENT CENTER-VA",5
"4737","MARION USP, IL (BOP)",6
"4738","MARION, SC",6
"4739","MARION/WALTHALL CORRECTIONAL FACILITY, MS",3
"4740","MARIPOSA COUNTY JAIL",19
"4741","MARIPOSE COUNTY",1
"4742","MARLBORO COUNTY, SC",10
"4743","MARLBORO TWP PD",29
"4744","MARLBOROUGH DISTRICT COURT",11
"4745","MARLBOROUGH POLICE DEPT",12
"4746","MARLTON CITY",3
"4747","MARQUETTE COUNTY JAIL, MARQUETTE, MI",9
"4748","MARSHAL COUNTY JAIL, MN",2
"4749","MARSHALL CO JAIL, BRITTON, SD",5
"4750","MARSHALL COUNTY CORRECTIONAL FACILITY, MS",3
"4751","MARSHALL COUNTY IOWA",264
"4752","MARSHALL COUNTY JAIL",4
"4753","MARSHALL COUNTY LAW ENFORCEMENT CENTER, MN",4
"4754","MARSHALL COUNTY SHERIFF'S OFFICE, INDIANA",20
"4755","MARSHALL COUNTY SHERIFFS OFFICE KANSAS",1
"4756","MARSHALL POLICE DEPARTMENT",17
"4757","MARTIN COUNTY FUGITIVE OPERATIONS",1
"4758","MARTIN COUNTY JAIL",11
"4759","MARTIN COUNTY JAIL, MN",21
"4760","MARTINSVILLE CITY JAIL - VA",8
"4761","MARTINSVILLE CITY JAIL-VA",19
"4762","MARYLAND ADULT PROBATION AND PAROLE",79
"4763","MARYLAND CORRECTIONAL ADJUSTMENT CENTER",4
"4764","MARYLAND CORRECTIONAL INSTITUTION - HAGERSTOWN",143
"4765","MARYLAND CORRECTIONAL INSTITUTION - JESSUP",25
"4766","MARYLAND CORRECTIONAL INSTITUTION FOR WOMEN",8
"4767","MARYLAND HEIGHTS POLICE, DEPARTMENT, MISSOURI",8
"4768","MARYLAND RECEPTION DIAGNOSTIC & CLASSIFICATION CENTER",36
"4769","MARYSVILLE CITY JAIL",53
"4770","MASON COUNTY DETENTION CTR, KY",10
"4771","MASON COUNTY JAIL",107
"4772","MASON COUNTY JAIL - TX1600000",10
"4773","MASON COUNTY JAIL, LUDINGTON, MI",9
"4774","MASSACHUSETTS ALCOHOL & TREATMENT CENTER",112
"4775","MASSACHUSETTS TREATMENT CENTER",11
"4776","MAT-SU PRETRIAL",38
"4777","MATAGORDA COUNTY JAIL, BAY CITY, TX",49
"4778","MATAGORDA COUNTY PROBATION, BAY CITY, TX",9
"4779","MATAGORDA COUNTY PROBATION,BAY CITY,TX",2
"4780","MATAWAN BOROUGH PD",9
"4781","MAUI COMMUNITY CORRECTIONAL CENTER",30
"4782","MAUI POLICE DEPARTMENT",188
"4783","MAUI PROBATION AND PAROLE",9
"4784","MAURY COUNTY JAIL, TN",81
"4785","MAVERICK COUNTY DETENTION CENTER",8
"4786","MAVERICK COUNTY JAIL",134
"4787","MAVERICK COUNTY JAIL - TX1620000",2
"4788","MAYES COUNTY JAIL",24
"4789","MAYWOOD PD",24
"4790","MCALLEN CITY JAIL, TX - TX1080800",180
"4791","MCCLAIN COUNTY JAIL",41
"4792","MCCLENNAN COUNTY JAIL, WACO, TEXAS",16
"4793","MCCORMICK COUNTY, SC",6
"4794","MCCRACKEN COUNTY COUNTY JAIL, KY",38
"4795","MCCRACKEN COUNTY JAIL, KY",1
"4796","MCCREARY COUNTY JAIL, KY",2
"4797","MCCULLOCH COUNTY JAIL, BRADY, TEXAS",6
"4798","MCCURTAIN COUNTY JAIL",8
"4799","MCDONALD COUNTY SHERIFFS OFFICE, MISSOURI",6
"4800","MCDONOUGH PROBATION OFFICE",3
"4801","MCDONOUGH, GA",14
"4802","MCDOWELL CO PROBATION MARION",1
"4803","MCDOWELL COUNTY JAIL",5
"4804","MCDOWELL COUNTY JAIL, NC",1
"4805","MCDOWELL COUNTY, NC",18
"4806","MCDUFFIE COUNTY, GA",2
"4807","MCFARLAND CCF",33
"4808","MCHENRY COUNTY SHERIFF'S OFFICE, IL",59
"4809","MCI CEDAR JUNCTION AT WALPOLE",26
"4810","MCI CONCORD",20
"4811","MCI FRAMINGHAM",168
"4812","MCI NORFOLK",44
"4813","MCI PLYMOUTH",3
"4814","MCI SHIRLEY MEDIUM/MAXIMUM",20
"4815","MCI SOUZA BARANOWSKI",7
"4816","MCINTOSH COUNTY JAIL",19
"4817","MCINTOSH COUNTY, GA",35
"4818","MCJ GENERAL AREA, NON-SPECIFIC",104
"4819","MCKEAN COUNTY PRISON",10
"4820","MCKENZIE COUNTY JAIL, ND",121
"4821","MCKINLEY COUNTY ADULT DETENTION CENTER, GALLUP, NM",11
"4822","MCKINLEY COUNTY JUVENILE DETENTION CENTER   GALLUP",1
"4823","MCKINNEY CITY JAIL",31
"4824","MCLEAN COUNTY JAIL, ND",9
"4825","MCLENNAN COUNTY JAIL, WACO, TEXAS",1056
"4826","MCLEOD COUNTY JAIL, MN",82
"4827","MCMINN COUNTY JAIL, TN",32
"4828","MCPHERSON COUNTY SHERIFFS OFFICE, MCPERSON, KANSAS",2
"4829","MCRAE FCI, MCRAE, GEORGIA",1
"4830","MCRAE FED, GA",506
"4831","MCRAE, GA",1
"4832","MCTGEN-MATAGORDA COUNTY SHERIFF'S OFFICE",2
"4833","MD STATE POLICE",1
"4834","MDC GENERAL AREA, NON-SPECIFIC",3
"4835","MDEA, BANGOR",2
"4836","MDEA, PORTLAND",2
"4837","MDM GENERAL AREA, NON-SPECIFIC",1036
"4838","MEADE COUNTY JAIL, STURGIS, SD",105
"4839","MEADE COUNTY SHERIFFS OFFICE, MEADE, KANSAS",17
"4840","MEAGHER COUNTY JAIL MT",1
"4841","MECKLENBURG CO PROBATION E 4TH ST CLT",1
"4842","MECKLENBURG CO PROBATION EXEC CTR DRIVE",2
"4843","MECKLENBURG CORRECTIONAL CENTER - VA",1
"4844","MECKLENBURG CORRECTIONAL CENTER-VA",1
"4845","MECKLENBURG COUNTY JAIL",81
"4846","Mecklenburg County Jail 287G",3462
"4847","MECKLENBURG COUNTY JAIL 287G",4
"4848","MECKLENBURG COUNTY JAIL-VA",3
"4849","MECKLENBURG COUNTY, NC",1444
"4850","MECOSTA COUNTY JAIL, BIG RAPIDS, MI",18
"4851","Medford CAP",55
"4852","Medford Fug Ops",83
"4853","Medford Non-Detained Docket",6
"4854","MEDFORD POLICE DEPARTMENT",5
"4855","MEDINA COUNTY JAIL",26
"4856","MEDINA COUNTY JAIL - TX - TX1630000",78
"4857","MEDINA COUNTY JAIL - TX1630000",7
"4858","MEEKER COUNTY JAIL, MN",20
"4859","MEEKER, CO",2
"4860","MEIGS COUNTY JAIL, TN",2
"4861","MELBOURNE, FL PROBATION AND PAROLE, FL DOC #181",16
"4862","MELVINDALE POLICE DEPARMENT",5
"4863","MELVINDALE, MICHIGAN",9
"4864","MEM GENERAL AREA, NON-SPECIFIC",597
"4865","MEMPHIS ERO OFFICE",333
"4866","MENARD CORR. CENTER, IL (ILLINOIS DOC)",1
"4867","MENARD COUNTY JAIL - MENARD, TX",3
"4868","MENARD COUNTY SHERIFF'S OFFICE, IL",1
"4869","MENDHAM PD",2
"4870","MENDHAM TWP PD",19
"4871","MENDOCINO COUNTY JAIL - CA",119
"4872","MENDOTA POLICE DEPARTMENT",33
"4873","MENOMINEE COUNTY JAIL, MENOMINEE, MI",1
"4874","MERCED COUNTY",35
"4875","MERCED COUNTY JAIL",309
"4876","MERCED COUNTY PROBATION DEPARTMENT",1
"4877","MERCED COUNTY SHERIFF'S DEPARTMENT",5
"4878","MERCEDES CITY JAIL, TX - TX1080900",17
"4879","MERCER COUNTY JAIL",32
"4880","MERCER COUNTY JAIL, ND",11
"4881","MERCER COUNTY PROBATION",11
"4882","MERCER COUNTY PROSECUTOR REFERRAL",1
"4883","MERCER COUNTY SHERIFF",17
"4884","MERCER COUNTY, NEW JERSEY",490
"4885","MERCER ISLAND CITY JAIL",6
"4886","MERCHANTVILLE POLICE DEPARTMENT",1
"4887","MERIDEN JUDICIAL MARSHAL'S LOCKUP",1
"4888","MERIDEN, CT",15
"4889","MERIWETHER COUNTY, GA",8
"4890","MERRICK COUNTY JAIL, NE",5
"4891","MERRIMACK COUNTY DOC",126
"4892","MERRIMACK COUNTY NH",108
"4893","MESA COUNTY",1
"4894","MESA COUNTY COURTHOUSE",4
"4895","MESA COUNTY JAIL",361
"4896","MESA VERDE CCF",3
"4897","MESQUITE CITY JAIL",273
"4898","MESQUITE CITY JAIL, UT",19
"4899","MESQUITE, NEW MEXICO",1
"4900","METROPOLITAN CORRECTIONAL CENTER",548
"4901","METROPOLITAN DETENTION CENTER MDC, BERNALILLO COUNTY",19
"4902","METROPOLITAN DETENTION CENTER, LOS ANGELES, CA",30
"4903","METROPOLITAN TRANSITION CENTER",3
"4904","METUCHEN PD",21
"4905","MEW MILFORD PD",6
"4906","MGA GENERAL AREA, NON-SPECIFIC",399
"4907","MGTGEN-MONTGOMERY COUNTY SHERIFF'S OFFICE",980
"4908","MIA GENERAL AREA, NON-SPECIFIC",1455
"4909","MIAMI ASYLUM REFFERAL",2
"4910","MIAMI COUNTY JAIL",5
"4911","MIAMI COUNTY SHERIFF'S OFFICE, INDIANA",1
"4912","MIAMI COUNTY SHERIFFS OFFICE KANSAS",6
"4913","MIAMI DADE COUNTY JAIL METRO WEST",161
"4914","MIAMI DADE COUNTY JAIL TRAINING AND TREATMENT CENTER",10
"4915","MIAMI DADE COUNTY JAIL TURNER GUILFORD KNIGHT (TGK)",3180
"4916","MIAMI DADE COUNTY PRE TRIAL DETENTION CENTER",55
"4917","MIAMI DADE COUNTY WOMEN'S DETENTION",1
"4918","MIAMI FUGITIVE OPERATIONS",742
"4919","MIAMI IRC SECURE COMMUNITIES (NON-DETAINERS)",13
"4920","MIAMI METROPOLITAN DETENTION FACILITY",11
"4921","MIAMI REFERRAL (CIS)",4
"4922","MICHIGAN STATE POLICE POST 29",1
"4923","MID GENERAL AREA, NON-SPECIFIC",723
"4924","MID-STATE CORRECTIONAL FACILITY",3
"4925","MIDDLE PENINSULA REGIONAL JAIL - VA",4
"4926","MIDDLE PENNINSULA REGIONAL JAIL-VA",6
"4927","MIDDLE RIVER REGIONAL JAIL - VA",102
"4928","MIDDLE RIVER REGIONAL JAIL-VA",3
"4929","MIDDLESEX COUNTY HOC",947
"4930","MIDDLESEX COUNTY JAIL",3062
"4931","MIDDLESEX COUNTY LOCAL PD",139
"4932","MIDDLESEX COUNTY PROSECUTOR REFERRAL",30
"4933","MIDDLESEX SUPERIOR COURT",13
"4934","Middleton Unit",2
"4935","MIDDLETOWN CITY JAIL",5
"4936","MIDDLETOWN JUDICIAL MARSHAL'S LOCKUP",3
"4937","MIDDLETOWN TWP PD",29
"4938","MIDDLETOWN, CT",6
"4939","MIDDLETOWN, CT POLICE DEPARTMENT",2
"4940","MIDLAND COUNTY DETENTION CENTER",256
"4941","MIDLAND COUNTY JAIL, MIDLAND, MI",9
"4942","MIDLAND PARK PD",12
"4943","MIDLAND, MICHIGAN",2
"4944","MIDLOTHIAN POLICE DEPARTMENT",14
"4945","MIFFLIN COUNTY CORRECTIONAL FACILITY",18
"4946","MIL GENERAL AREA, NON-SPECIFIC",1154
"4947","MILAM COUNTY JAIL CAMERON, TX",19
"4948","MILAM COUNTY JAIL, CAMERON, TX",1
"4949","MILAM COUNTY JAIL,CAMERON,TX",15
"4950","MILFORD DISTRICT COURT",8
"4951","MILFORD POLICE DEPARTMENT - MILFORD, DE",2
"4952","MILFORD POLICE DEPT",14
"4953","MILFORD, CT",6
"4954","MILL CREEK CORRECTIONAL FACILITY (MCCF)",3
"4955","MILLARD COUNTY JAIL - UT",28
"4956","MILLBURN PD",61
"4957","MILLE LACS COUNTY JAIL, MN",11
"4958","MILLEDGEVILLE, GA",4
"4959","MILLEN, GA",2
"4960","MILLER COUNTY JAIL",23
"4961","MILLER COUNTY JAIL, GA",1
"4962","MILLER COUNTY SHERIFFS OFFICE MISSOURI",9
"4963","MILLS COUNTY JAIL, IA",15
"4964","Mills County, TX At Large",2
"4965","Mills County, TX Jail",7
"4966","MILLTOWN PD",19
"4967","MILPITAS  POLICE DEPARTMENT",1
"4968","MILTON POLICE DEPARTMENT - MILTON, PA",2
"4969","MILTON, GA",2
"4970","MINER CO JAIL, HOWARD, SD",26
"4971","MINER POLICE DEPARTMENT, MISSOURI",1
"4972","MINERAL COUNTY JAIL MT",6
"4973","MINERAL WELLS POLICE DEPARTMENT",2
"4974","MINI-CASSIA COUNTY CRIMINAL JUSTICE CENTER ID",208
"4975","MINI-CASSIA CRIMINAL JUSTICE CENTER ID",1
"4976","MINIDOKA COUNTY MISDEMEANOR PROBATIOIN OFFICE ID",1
"4977","MINIDOKA COUNTY MISDEMEANOR PROBATION OFFICE ID",1
"4978","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN",10
"4979","MINNEHAHA CO JAIL, SIOUX FALLS, SD",337
"4980","MINNEHAHA COUNTY, SD",4
"4981","MINNETONKA PD, MN",2
"4982","MIR GENERAL AREA, NON-SPECIFIC",5
"4983","Mira Mesa, CA",1
"4984","MISSAUKEE COUNTY JAIL, LAKE CITY, MI",15
"4985","MISSION CITY JAIL, TX - TX1081000",184
"4986","MISSISSIPPI COUNTY PROBATION-OSCEOLA OFFICE",2
"4987","MISSISSIPPI COUNTY SHERIFF'S DEPARTMENT, MISSOURI",2
"4988","MISSISSIPPI DOC BAY ST LOUIS (PROBATION)",1
"4989","MISSISSIPPI DOC BILOXI (PROBATION)",2
"4990","MISSISSIPPI DOC GULFPORT (PROBATION)",2
"4991","MISSISSIPPI DOC HATTIESBURG (PROBATION)",1
"4992","MISSISSIPPI DOC PASCAGOULA (PROBATION)",1
"4993","MISSISSIPPI STATE PENITENTIARY",4
"4994","MISSOULA AREA",3
"4995","MISSOULA COUNTY JAIL MT",37
"4996","MISSOULA, MT  PROBATION&PAROLE",1
"4997","MISSOULA, MT FEDERAL  PROBATION&PAROLE",1
"4998","MISSOURI CITY, TEXAS",6
"4999","MISSOURI PROBATION & PAROLE DISTRICT 10",2
"5000","MISSOURI PROBATION & PAROLE DISTRICT 43",4
"5001","MISSOURI PROBATION & PAROLE DISTRICT 9",3
"5002","MITCHELL COUNTY JAIL",1
"5003","MITCHELL COUNTY JAIL, GA",1
"5004","MITCHELL COUNTY JAIL, IA",3
"5005","MITCHELL COUNTY SHERIFFS OFFICE, BELOIT, KANSAS",6
"5006","MITCHELL COUNTY, GA",1
"5007","MITCHELL COUNTY, NC",7
"5008","Mitchell County, TX At Large",16
"5009","Mitchell County, TX Jail",8
"5010","MLN GENERAL AREA, NON-SPECIFIC",739
"5011","MM 8.5 GTR TO BLACKDRAW",1
"5012","MN CORR FACILITY - SHAKOPEE, MN",29
"5013","MN CORR FACILITY FARIBAULT, MN",140
"5014","MN CORR FACILITY MOOSE LAKE, MN",56
"5015","MN CORR FACILITY OAK PARK HEIGHTS, MN",2
"5016","MN CORR FACILITY RED WING JUVENILE, MN",6
"5017","MN CORR FACILITY RUSH CITY, MN",44
"5018","MN CORR FACILITY-LINO LAKES, MN",19
"5019","MN CORR FACILITY-ST. CLOUD, MN",328
"5020","MN CORR FACILITY, MN",58
"5021","MN OCRR FACILITY STILLWATER, MN",31
"5022","MN PROBATION - CO - 6 W COMM CORR - YELLOW MEDICINE CO - MONTEVIDEO, MN",1
"5023","MN PROBATION - CO - ANOKA CO COMM CORR - ANOKA, MN",1
"5024","MN PROBATION - CO - BLUE EARTH CO COMM CORR - MANKATO, MN",1
